# OF ORDERS,CATEGORY,DISH,COMPONENT,INGREDIENT,QUANTITY PER SERVING,UNIT,TOTAL Q FOR THIS WEEK,IN STOCK,DIFF,NEED TO SHOP?,Q,UNIT,WHERE TO SHOP (1ST CHOICE)
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,PINTO BEANS,0.58,CUPS,17.50,0,17.50,YES,17.5,CUPS,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,EVOO,0.33,TBSP,10.00,999,-939.4,NO,939.4,TBSP,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,ONION,0.17,ONION,5.00,10,32.90,YES,32.9,ONION,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,POBLANO,0.17,POBLANO,5.00,999,-994,NO,994,POBLANO,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,SALT,0.08,TSP,2.50,999,-965.25,NO,965.25,TSP,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,TOMATO PASTE,0.17,TBSP,5.00,999,-994,NO,994,TBSP,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,CUMIN,0.17,TSP,5.00,999,-963.1,NO,963.1,TSP,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,CHILI POWDER,0.17,TSP,5.00,999,-992.4,NO,992.4,TSP,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,LIME,0.17,LIME,5.00,3,17.00,YES,17,LIME,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,H20,0.08,CUP,2.50,999,-989.8,NO,989.8,CUP,RD
30,SIDE,SMOKY POBLANO REFRIED BEANS,PINTO BEAN SIDE,FETA CHEESE,0.17,TBSP,5.00,999,-994,NO,994,TBSP,SPROUTS
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY VEGGIES,TOFU,0.25,PACK,7.50,12,3.50,YES,3.5,PACK,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY VEGGIES,ONION,0.25,ONION,7.50,10,32.90,YES,32.9,ONION,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY VEGGIES,CORNSTARCH,0.50,TBSP,15.00,999,-951.75,NO,951.75,TBSP,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY VEGGIES,BOK CHOY,0.50,BOK CHOY,15.00,0,15.00,YES,15,BOK CHOY,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,GARLIC,0.50,CLOVE,15.00,999,-912.9,NO,912.9,CLOVE,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,SOY SAUCE,0.13,CUP,3.90,999,-979.1,NO,979.1,CUP,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,BROWN SUGAR,0.06,CUP,1.80,999,-895.35,NO,895.35,CUP,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,RICE VINEGAR,0.25,TBSP,7.50,999,-990.18,NO,990.18,TBSP,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,GINGER,0.25,INCH,7.50,999,-972.25,NO,972.25,INCH,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,SESAME OIL,0.25,TBSP,7.50,999,-984,NO,984,TBSP,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,H20,0.19,CUP,5.70,999,-989.8,NO,989.8,CUP,RD
30,ENTREE,THAI BASIL TOFU AND BABY BOK CHOY SAUTÉ,STIR-FRY SAUCE,CORNSTARCH,0.50,TBSP,15.00,999,-951.75,NO,951.75,TBSP,RD
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,GREEN MANGO,0.25,GREEN MANGO,7.50,0,7.50,YES,7.5,GREEN MANGO,RD
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,BELL PEPPER RED,0.25,BELL PEPPER RED,7.50,0,22.50,YES,22.5,BELL PEPPER RED,RD
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,ROMAINE LETTUCE,0.10,ROMAINE LETTUCE,3.00,0,7.95,YES,7.95,ROMAINE LETTUCE,RD
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,GREEN ONION,0.25,GREEN ONION,7.50,5,62.50,YES,62.5,GREEN ONION,RD
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,ZUCCHINI,0.25,ZUCCHINI,7.50,0,7.50,YES,7.5,ZUCCHINI,RD
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,MINT,0.17,OZ,5.00,0,5.00,YES,5,OZ,AMAZON
30,SIDE,MANGO & MINT SALAD,SIDE VEGGIES,RED CHILLI,0.25,RED CHILLI,7.50,999,-991.5,NO,991.5,RED CHILLI,RD
30,SIDE,MANGO & MINT SALAD,LIME DRESSING,LIME JUICE,0.25,LIME,7.50,999,-956.5,NO,956.5,LIME,RD
30,SIDE,MANGO & MINT SALAD,LIME DRESSING,SESAME OIL,0.25,TBSP,7.50,999,-984,NO,984,TBSP,RD
30,SIDE,MANGO & MINT SALAD,LIME DRESSING,GARLIC,0.25,CLOVE,7.50,999,-912.9,NO,912.9,CLOVE,RD
30,SIDE,MANGO & MINT SALAD,LIME DRESSING,SOY SAUCE,0.50,TBSP,15.00,999,-979.1,NO,979.1,TBSP,RD
30,SIDE,MANGO & MINT SALAD,LIME DRESSING,MAPLE SYRUP,0.25,TSP,7.50,999,-975.9,NO,975.9,TSP,RD
30,SIDE,MANGO & MINT SALAD,LIME DRESSING,BLACK PEPPER,0.00,TSP,0.03,999,-987.595,NO,987.595,TSP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,ONION RED,0.25,ONION RED,7.50,999,-991.5,NO,991.5,ONION RED,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,GARLIC,0.50,CLOVE,15.00,999,-912.9,NO,912.9,CLOVE,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,BUTTERNUT SQUASH,0.50,CUP,15.00,999,-984,NO,984,CUP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,SALT,0.25,TSP,7.50,999,-965.25,NO,965.25,TSP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,BLACK PEPPER,0.25,TSP,7.50,999,-987.595,NO,987.595,TSP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,RICE ARBORIO,0.25,CUP,7.50,999,-991.5,NO,991.5,CUP,RD
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,SAGE FRESH,0.25,TBSP,7.50,0,7.50,YES,7.5,TBSP,AMAZON
30,ENTREE,SQUASH & SAGE RISOTTO CAKES,RISOTTO CAKES,SHERRY VING,0.13,CUP,3.75,999,-995.25,NO,995.25,CUP,RD
